feature,band,name,score,has_lexical_evidence,source_excerpt
spice,high,Lupita Deli & Kitchen,0.8,False,"They have the best empanadas. It’s thick and full of cheese. My son loves it. --- Nice little place to grab a bite the food is fresh and taste great 👍 highly recommended --- Try the Sancocho. Absolutely delicious and traditional. --- Of the sunshine in the window, modest mode, setting and casual tile floor refrigerated cases. The chicken burrito was a delight my sister's and I will come back. --- Had a coffee, deli sandwich and a chicken empanada which were all okay. Service was good but little "
spice,high,Lone Star Taco Bar,1.0,True,Love that the horchata was made with almond milk. I have a dairy allergy! The shrimp ceviche was good. Would be better with fresh lime. I enjoyed the beef barbacoa taco. I had told them I have an allergy and they still out cheese on the taco so I sent it back. It seemed like they were confused. And they I loved the Veracruz fish taco. One of the best things on the menu for sure. Amazingly seasoned. Nice spice. The shrimp tacos felt like they were frozen to me. --- Amazing tacos with great option
spice,high,Ditan Er BBQ House,1.0,True,Food was mediocre and tasted like from preprocessed/packaged(预制菜）. We had some bbq skewers which are okay but nothing special. The signature lamb pot was a big disappointment. It seemed that the soup is from concentrated or powdered soup or whatever. It tasted like okay meat soup but didn’t seem its was from the lamb stew. Obliviously that the lamb was cooked separately (not long enough) and added to the soup afterwards. Also the tofu with thousand years egg tasted like sichuan packaged spicy sa
spice,high,Narunya's,0.8,True,"Portion was OK, service was decent, but my spoon had caked on rice from the last customer. Might not return here. --- Went to Narunya’s Thai restaurant in Belton for the first time and was impressed with the food. The service was slow and it wasn’t that busy but it takes time for good food. We ordered the pad Thai and the yellow curry. The app of fire balls with deep fried rice was okay. I probably wouldn’t get that again. Overall, it was pretty good. --- Atmosphere beautiful. Service stupendous"
spice,high,Blitz Soulfood & Catering,0.8,False,"The food prepared by this chief was delicious. The fish was seasoned very well and most recently the peach cobbler was delicious. You will not be disappointed. The serving sizes are very adequate. All I can say is “ try it, you’ll like it.” by P.T. Bakes --- When I say the food was everything!!! Blitz catered my wedding reception and besides marrying my sweetheart this was definitely my second best decision! My guest are still talking about the food 2 weeks after my event. 🗣 The service was impe"
spice,low,Las Delicias de Jaimito,0.0,False,"No mama.... No onions No peppers No tomato No seasoning Just bland and idk what kinda cheese this is but NOPE. LIME soda was good tho --- A family member recommended us this place and it was great! Don Jaimto and the lady who were cooking even though they were busy they still engaged with us ,they were very pleasant to talk, plus the tortas were amazingly delicious! Great service, pleasant atmosphere 👌 We'll be back , love from, Philly ❤️. --- Food was amazing and very friendly people. Will come"
spice,low,La Ricura Restaurant,0.0,False,"Today was my first time at this spot, I use to live around this place some 15yrs ago or more, coming back brought lots of memories. This place might not look like much, but trust me the food has flavor! Juices are way too sweet for me, i was unable to drink any of the tamarind juice. FOOD: great flavor, good portion. Coffee and tea are served in 16oz cups! Amazing. The lunch special very reasonable. SERVICE: Very Friendly, at least the server that took care of us. The only complaint i have is th"
spice,low,Arepa Lady,0.0,False,"All arepas were amazing! - crispy, fluffy and warm. We got Arepa de chocolo and Arepa Rellena. I like their chorizo, baconand sweet plantains- perfectly seasoning. Also, they also have condensed milk and sauces on the table for you. The atmosphere was cute, nice and cozy. They also big screen on the wall the watch the sports. --- ⭐️⭐️⭐️⭐️⭐️ Absolutely delicious! Arepa Lady is a hidden gem in Queens. The arepas are out of this world, crispy on the outside, soft and cheesy inside, and full of flav"
spice,low,Seven Hills,0.0,True,"This restaurant deserves five stars–and then some. Between the dim, intimate, lighting, attentive service, and truly fabulous food, there was nothing more we could have asked for. The complimentary bread arrived warm and pillowy soft. The autumn breeze mocktail was a beautiful study in balance, with ginger delicately offset by pomegranate. The agnolotti was playful and smart; when I punctured the cheerfully green pillows of pasta, the chicken filling revealed itself – creamy, inviting, and every"
spice,low,Piccolo Forno,0.0,True,"A cosy restaurant serving genuinely delicious Italian fare. The meal began with complimentary bread and olive oil. The burrata arrived like a cloud - creamy, soft, and beautifully balanced with briny olives and sweet cherry tomatoes. The lobster stuffing of ravioli di aragosta was perfectly minced, and luxurious. The spaghetti alla carbonara was silky, and lifted by generous chunks of guanciale. We ended with an affogato that delivered the perfect finale - bold, sweet and beautifully comforting."
